Datum;DeltaAnzahlVortag;DeltaGeheiltVortag;DeltaTotVortag;DeltaAktivVortag;DeltaTestGesamtVortag
25.01.2022 00:00:00;38127;17068;15;21044;533996
26.01.2022 00:00:00;35744;17522;10;18212;791137
27.01.2022 00:00:00;37810;18910;18;18882;1735543
28.01.2022 00:00:00;33584;20690;20;12874;701619
29.01.2022 00:00:00;28948;21042;15;7891;568134
30.01.2022 00:00:00;26110;23875;16;2219;425786
31.01.2022 00:00:00;27713;23926;13;3774;292063
01.02.2022 00:00:00;43985;27299;16;16670;708812
02.02.2022 00:00:00;33637;24922;21;8694;1223923
03.02.2022 00:00:00;36831;27761;25;9045;1161196
04.02.2022 00:00:00;33189;30469;17;2703;596739
05.02.2022 00:00:00;29933;26896;26;3011;545912
06.02.2022 00:00:00;25896;28316;19;-2439;492386
07.02.2022 00:00:00;29015;29878;26;-889;417128
08.02.2022 00:00:00;40367;33337;16;7014;625935
09.02.2022 00:00:00;35316;41239;19;-5942;758201
10.02.2022 00:00:00;33343;43570;28;-10255;828701
11.02.2022 00:00:00;29843;42601;32;-12790;429377
12.02.2022 00:00:00;25013;39862;33;-14882;681801
13.02.2022 00:00:00;24055;41123;23;-17091;369192
14.02.2022 00:00:00;26497;38144;36;-11683;251563
15.02.2022 00:00:00;38784;48630;31;-9877;709849
16.02.2022 00:00:00;30879;31753;25;-899;942103
17.02.2022 00:00:00;30569;31681;30;-1142;746865
18.02.2022 00:00:00;25777;34559;20;-8802;491800
19.02.2022 00:00:00;21777;30689;29;-8941;711316
20.02.2022 00:00:00;21382;29259;23;-7900;368063
21.02.2022 00:00:00;23723;28743;29;-5049;222958
22.02.2022 00:00:00;35323;29671;30;5622;539689
23.02.2022 00:00:00;28583;28529;26;28;564949
24.02.2022 00:00:00;29836;28033;33;1770;886099
25.02.2022 00:00:00;25135;31641;37;-6543;503707
26.02.2022 00:00:00;22128;26368;31;-4271;740205
27.02.2022 00:00:00;21282;27960;28;-6706;342848
28.02.2022 00:00:00;27413;27536;31;-154;161121
01.03.2022 00:00:00;41019;29542;40;11437;553850
02.03.2022 00:00:00;31787;26091;32;5664;847200
03.03.2022 00:00:00;32031;28004;32;3995;801296
04.03.2022 00:00:00;31613;29987;33;1593;217224
05.03.2022 00:00:00;27695;26183;32;1480;825635
06.03.2022 00:00:00;26622;27480;23;-881;308045
07.03.2022 00:00:00;34196;26985;33;7178;181146
08.03.2022 00:00:00;51270;31417;26;19827;627441
09.03.2022 00:00:00;50219;30401;25;19793;609185
10.03.2022 00:00:00;49619;32406;25;17188;803114
11.03.2022 00:00:00;43718;38258;29;5431;470532
12.03.2022 00:00:00;37610;31471;28;6111;664188
13.03.2022 00:00:00;34432;32178;27;2227;366672
14.03.2022 00:00:00;40264;31412;29;8823;345283
15.03.2022 00:00:00;63886;36396;34;27456;544679
16.03.2022 00:00:00;51901;35467;27;16407;1057150
17.03.2022 00:00:00;50841;38436;39;12366;768595
18.03.2022 00:00:00;42252;46907;41;-4696;472259
19.03.2022 00:00:00;37586;44578;34;-7026;714927
20.03.2022 00:00:00;31254;44991;36;-13773;352029
21.03.2022 00:00:00;37062;41221;39;-4198;332573
22.03.2022 00:00:00;54740;43447;35;11258;450123
23.03.2022 00:00:00;41161;42246;49;-1134;478319
24.03.2022 00:00:00;37233;41612;41;-4420;663883
25.03.2022 00:00:00;33153;53733;46;-20626;346725
26.03.2022 00:00:00;25562;43891;40;-18369;602107
27.03.2022 00:00:00;20978;44688;33;-23743;186079
28.03.2022 00:00:00;26080;41145;36;-15101;222096
29.03.2022 00:00:00;34082;41887;39;-7844;526435
30.03.2022 00:00:00;26101;36841;49;-10789;805811
31.03.2022 00:00:00;22163;38928;44;-16809;369907
01.04.2022 00:00:00;18937;45981;50;-27094;552375
02.04.2022 00:00:00;13952;36903;29;-22980;460338
03.04.2022 00:00:00;11472;34636;40;-23204;213630
04.04.2022 00:00:00;15292;31612;27;-16347;188046
05.04.2022 00:00:00;20931;29426;36;-8531;374323
06.04.2022 00:00:00;16313;24352;38;-8077;359410
07.04.2022 00:00:00;13842;24425;31;-10614;721020
08.04.2022 00:00:00;12970;29541;28;-16599;192519
09.04.2022 00:00:00;10607;21766;29;-11188;516345
10.04.2022 00:00:00;7312;20409;26;-13123;170462
11.04.2022 00:00:00;9506;16593;29;-7116;100077
12.04.2022 00:00:00;12472;16712;33;-4273;201528
13.04.2022 00:00:00;10343;15054;24;-4735;185952
14.04.2022 00:00:00;9856;14937;16;-5097;262385
15.04.2022 00:00:00;8719;17348;22;-8651;129645
16.04.2022 00:00:00;7416;14464;23;-7071;226603
17.04.2022 00:00:00;5606;13059;20;-7473;106217
18.04.2022 00:00:00;5751;12363;16;-6628;79772
19.04.2022 00:00:00;8510;11602;19;-3111;101910
20.04.2022 00:00:00;10913;9635;14;1264;247953
21.04.2022 00:00:00;8071;8985;27;-941;344293
22.04.2022 00:00:00;6502;11580;23;-5101;259002
23.04.2022 00:00:00;5507;9472;17;-3982;113218
24.04.2022 00:00:00;4339;8843;11;-4515;101424
25.04.2022 00:00:00;6180;8339;16;-2175;84727
26.04.2022 00:00:00;8242;7894;14;334;269082
27.04.2022 00:00:00;6522;6967;17;-462;236855
28.04.2022 00:00:00;6064;6671;15;-622;179845
29.04.2022 00:00:00;5294;7294;10;-2010;246143
30.04.2022 00:00:00;4465;8835;6;-4376;160057
01.05.2022 00:00:00;3944;7284;14;-3354;83714
02.05.2022 00:00:00;5606;6166;13;-573;71620
03.05.2022 00:00:00;7155;6221;14;920;164112
04.05.2022 00:00:00;5980;5807;9;164;200791
05.05.2022 00:00:00;6109;5888;6;215;160209
06.05.2022 00:00:00;5118;7023;10;-1915;286409
07.05.2022 00:00:00;3465;6146;6;-2687;100098
08.05.2022 00:00:00;3912;5983;19;-2090;77696
09.05.2022 00:00:00;4734;5082;7;-355;68304
10.05.2022 00:00:00;5966;5224;7;735;172786
11.05.2022 00:00:00;5065;5141;6;-82;228920
12.05.2022 00:00:00;4765;5264;12;-511;148398
13.05.2022 00:00:00;3706;6501;3;-2798;109198
14.05.2022 00:00:00;3334;5657;3;-2326;89897
15.05.2022 00:00:00;2513;5551;3;-3041;70310
16.05.2022 00:00:00;3279;4985;8;-1714;435133
17.05.2022 00:00:00;4407;4299;4;104;155889
18.05.2022 00:00:00;3394;4611;5;-1222;225336
19.05.2022 00:00:00;3141;4447;6;-1312;135858
20.05.2022 00:00:00;2705;5209;3;-2507;227772
21.05.2022 00:00:00;1751;4349;5;-2603;112635
22.05.2022 00:00:00;1756;4336;4;-2584;53817
23.05.2022 00:00:00;2430;3560;4;-1134;39726
24.05.2022 00:00:00;3158;3476;13;-331;290343
25.05.2022 00:00:00;2607;2905;2;-300;256898
26.05.2022 00:00:00;1755;2961;7;-1213;259173
27.05.2022 00:00:00;1821;3759;1;-1939;57558
28.05.2022 00:00:00;1892;2916;2;-1026;47210
29.05.2022 00:00:00;1748;2869;0;-1121;59744
30.05.2022 00:00:00;2385;2550;3;-168;45285
31.05.2022 00:00:00;3591;2248;5;1338;60579
01.06.2022 00:00:00;3207;2119;3;1085;249045
02.06.2022 00:00:00;3259;2192;6;1061;153663
03.06.2022 00:00:00;2715;2859;1;-145;144207
04.06.2022 00:00:00;2398;2471;3;-76;62425
05.06.2022 00:00:00;2080;2094;3;-17;41704
06.06.2022 00:00:00;2386;1879;3;504;20822
07.06.2022 00:00:00;3724;2332;2;1390;42506
08.06.2022 00:00:00;5222;2403;1;2818;102963
09.06.2022 00:00:00;4301;2366;6;1929;236970
10.06.2022 00:00:00;4024;3199;2;823;83820
11.06.2022 00:00:00;3088;2907;4;177;56968
12.06.2022 00:00:00;2897;3019;3;-125;32206
13.06.2022 00:00:00;4838;2979;4;1855;67452
14.06.2022 00:00:00;7088;3076;1;4011;111642
15.06.2022 00:00:00;7393;2827;3;4563;194813
16.06.2022 00:00:00;4894;3114;3;1777;89198
17.06.2022 00:00:00;5901;3267;0;2634;61109
18.06.2022 00:00:00;6201;4421;1;1779;58719
